time,x,y,theta,linear_vel,angular_vel
0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.005,0.0,0.0033333333333333335,0.0
0.2,0.0,0.01,0.0,0.006666666666666667,0.0
0.30000000000000004,0.0,0.015000000000000001,0.0,0.010000000000000002,0.0
0.4,0.0,0.02,0.0,0.013333333333333334,0.0
0.5,0.0,0.024999999999999998,0.0,0.016666666666666666,0.0
0.6,0.0,0.029999999999999995,0.0,0.02,0.0
0.7,0.0,0.034999999999999996,0.0,0.02333333333333333,0.0
0.7999999999999999,0.0,0.039999999999999994,0.0,0.026666666666666665,0.0
0.8999999999999999,0.0,0.04499999999999999,0.0,0.029999999999999995,0.0
0.9999999999999999,0.0,0.04999999999999999,0.0,0.033333333333333326,0.0
1.0999999999999999,0.0,0.054999999999999986,0.0,0.03666666666666666,0.0
1.2,0.0,0.05999999999999999,0.0,0.04,0.0
1.3,0.0,0.065,0.0,0.043333333333333335,0.0
1.4000000000000001,0.0,0.07,0.0,0.04666666666666667,0.0
1.5000000000000002,0.0,0.07500000000000001,0.0,0.05000000000000001,0.0
1.6000000000000003,0.0,0.08000000000000002,0.0,0.053333333333333344,0.0
1.7000000000000004,0.0,0.085,0.0,0.05666666666666668,0.0
1.8000000000000005,0.0,0.09000000000000001,0.0,0.06000000000000002,0.0
1.9000000000000006,0.0,0.09500000000000001,0.0,0.06333333333333335,0.0
2.0000000000000004,0.0,0.10000000000000002,0.0,0.06666666666666668,0.0
2.1000000000000005,0.0,0.10500000000000002,0.0,0.07000000000000002,0.0
2.2000000000000006,0.0,0.11000000000000003,0.0,0.07333333333333335,0.0
2.3000000000000007,0.0,0.11500000000000003,0.0,0.07666666666666669,0.0
2.400000000000001,0.0,0.12000000000000002,0.0,0.08000000000000003,0.0
2.500000000000001,0.0,0.12500000000000003,0.0,0.08333333333333336,0.0
2.600000000000001,0.0,0.13000000000000003,0.0,0.0866666666666667,0.0
2.700000000000001,0.0,0.13500000000000004,0.0,0.09000000000000004,0.0
2.800000000000001,0.0,0.14000000000000004,0.0,0.09333333333333337,0.0
2.9000000000000012,0.0,0.14500000000000005,0.0,0.0966666666666667,0.0
3.0000000000000013,0.0,0.15000000000000013,0.0,0.1,0.0
3.1000000000000014,0.0,0.16000000000000014,0.0,0.1,0.0
3.2000000000000015,0.0,0.17000000000000015,0.0,0.1,0.0
3.3000000000000016,0.0,0.18000000000000016,0.0,0.1,0.0
3.4000000000000017,0.0,0.19000000000000017,0.0,0.1,0.0
3.5000000000000018,0.0,0.20000000000000018,0.0,0.1,0.0
3.600000000000002,0.0,0.2100000000000002,0.0,0.1,0.0
3.700000000000002,0.0,0.2200000000000002,0.0,0.1,0.0
3.800000000000002,0.0,0.2300000000000002,0.0,0.1,0.0
3.900000000000002,0.0,0.2400000000000002,0.0,0.1,0.0
4.000000000000002,0.0,0.25000000000000017,0.0,0.1,0.0
4.100000000000001,0.0,0.2600000000000001,0.0,0.1,0.0
4.200000000000001,0.0,0.27000000000000013,0.0,0.1,0.0
4.300000000000001,0.0,0.2800000000000001,0.0,0.1,0.0
4.4,0.0,0.29000000000000004,0.0,0.1,0.0
4.5,0.0,0.30000000000000004,0.0,0.1,0.0
4.6,0.0,0.30999999999999994,0.0,0.1,0.0
4.699999999999999,0.0,0.31999999999999995,0.0,0.1,0.0
4.799999999999999,0.0,0.3299999999999999,0.0,0.1,0.0
4.899999999999999,0.0,0.33999999999999986,0.0,0.1,0.0
4.999999999999998,0.0,0.34999999999999987,0.0,0.1,0.0
5.099999999999998,0.0,0.35999999999999976,0.0,0.1,0.0
5.1999999999999975,0.0,0.3699999999999998,0.0,0.1,0.0
5.299999999999997,0.0,0.3799999999999997,0.0,0.1,0.0
5.399999999999997,0.0,0.3899999999999997,0.0,0.1,0.0
5.4999999999999964,0.0,0.3999999999999997,0.0,0.1,0.0
5.599999999999996,0.0,0.4099999999999996,0.0,0.1,0.0
5.699999999999996,0.0,0.4199999999999996,0.0,0.1,0.0
5.799999999999995,0.0,0.4299999999999995,0.0,0.1,0.0
5.899999999999995,0.0,0.4399999999999995,0.0,0.1,0.0
5.999999999999995,0.0,0.4499999999999995,0.0,0.1,0.0
6.099999999999994,0.0,0.4599999999999994,0.0,0.1,0.0
6.199999999999994,0.0,0.4699999999999994,0.0,0.1,0.0
6.299999999999994,0.0,0.4799999999999994,0.0,0.1,0.0
6.399999999999993,0.0,0.4899999999999993,0.0,0.1,0.0
6.499999999999993,0.0,0.49999999999999933,0.0,0.1,0.0
6.5999999999999925,0.0,0.5099999999999992,0.0,0.1,0.0
6.699999999999992,0.0,0.5199999999999992,0.0,0.1,0.0
6.799999999999992,0.0,0.5299999999999992,0.0,0.1,0.0
6.8999999999999915,0.0,0.5399999999999991,0.0,0.1,0.0
6.999999999999991,0.0,0.5499999999999992,0.0,0.1,0.0
7.099999999999991,0.0,0.559999999999999,0.0,0.1,0.0
7.19999999999999,0.0,0.5699999999999991,0.0,0.1,0.0
7.29999999999999,0.0,0.5799999999999991,0.0,0.1,0.0
7.39999999999999,0.0,0.589999999999999,0.0,0.1,0.0
7.499999999999989,0.0,0.599999999999999,0.0,0.1,0.0
7.599999999999989,0.0,0.6099999999999989,0.0,0.1,0.0
7.699999999999989,0.0,0.6199999999999989,0.0,0.1,0.0
7.799999999999988,0.0,0.6299999999999989,0.0,0.1,0.0
7.899999999999988,0.0,0.6399999999999988,0.0,0.1,0.0
7.999999999999988,0.0,0.6499999999999988,0.0,0.1,0.0
