Estimated Position_x,Estimated Position_y,Measured Position_x,Measured Position_y
,,,
,,,
,,,
,,0.300000007,0.519495249
,,0.300000017,0.714167374
,,0.300000027,0.932751977
,,0.330072521,1.1429275
,,0.457799309,1.284854769
,,0.641722209,1.347235939
,,0.836833365,1.345945923
,,1.058180124,1.355257958
,,1.252052502,1.244554824
,,1.334975049,1.072472726
,,1.350771253,0.866999771
0.299999999,0.691817298,1.372300116,0.651896049
0.299999999,0.691817298,1.276317278,0.468610318
0.299999999,0.691817298,1.110149794,0.374393692
0.299999999,0.691817298,0.904674594,0.330082858
0.299999999,0.691817298,0.704020544,0.261401767
0.299999999,0.891087737,0.517283597,0.258922202
0.299999999,0.891087737,0.393204035,0.247286578
0.299999999,0.891087737,0.325815785,0.26814499
0.299999999,0.891087737,0.331511589,0.264551189
0.299999999,0.891087737,0.303393882,0.268452529
0.299999999,0.891087737,0.36201385,0.261672947
0.320483936,1.10902098,0.252274072,0.274406196
0.320483936,1.10902098,0.407781153,0.254432056
0.320483936,1.10902098,0.237378712,0.275097673
0.320483936,1.10902098,0.369295034,0.256388302
0.320483936,1.10902098,0.198914588,0.277290265
0.448645816,1.259088979,0.348907556,0.256276213
0.448645816,1.259088979,0.178549956,0.277417183
0.448645816,1.259088979,0.292332017,0.260417944
0.448645816,1.259088979,0.140087203,0.279661262
0.448645816,1.259088979,0.308114849,0.255999484
0.640045691,1.300067916,0.137805367,0.277626752
0.640045691,1.300067916,0.292436275,0.260607267
0.640045691,1.300067916,0.122138416,0.282358107
0.640045691,1.300067916,0.30612528,0.261829252
0.640045691,1.300067916,,
0.840479899,1.300067916,,
0.840479899,1.300067916,,
0.840479899,1.300067916,,
0.840479899,1.300067916,,
0.840479899,1.300067916,,
1.059662851,1.294075304,,
1.059662851,1.294075304,,
1.059662851,1.294075304,,
1.059662851,1.294075304,,
1.059662851,1.294075304,,
1.228530752,1.194422475,,
1.228530752,1.194422475,,
1.228530752,1.194422475,,
1.228530752,1.194422475,,
1.228530752,1.194422475,,
1.29990849,1.007477162,,
1.29990849,1.007477162,,
1.29990849,1.007477162,,
1.29990849,1.007477162,,
1.29990849,1.007477162,,
1.29990849,1.007477162,,
1.299999999,0.79071232,,
1.299999999,0.79071232,,
1.299999999,0.79071232,,
1.299999999,0.79071232,,
1.299999999,0.79071232,,
1.299865926,0.591099847,,
1.299865926,0.591099847,,
1.299865926,0.591099847,,
1.299865926,0.591099847,,
1.299865926,0.591099847,,
1.229275778,0.406592808,,
1.229275778,0.406592808,,
1.229275778,0.406592808,,
1.229275778,0.406592808,,
1.229275778,0.406592808,,
1.042469732,0.30308926,,
1.042469732,0.30308926,,
1.042469732,0.30308926,,
1.042469732,0.30308926,,
1.042469732,0.30308926,,
0.842653509,0.300067916,,
0.842653509,0.300067916,,
0.842653509,0.300067916,,
0.842653509,0.300067916,,
0.842653509,0.300067916,,
0.842653509,0.300067916,,
0.622281118,0.300067916,,
0.622281118,0.300067916,,
0.622281118,0.300067916,,
0.622281118,0.300067916,,
0.622281118,0.300067916,,
0.460983441,0.300067916,,
0.460983441,0.300067916,,
0.460983441,0.300067916,,
0.460983441,0.300067916,,
