timestamp_iso8601,northing_m,easting_m,landmark_id
2025-05-15T22:15:34.745588,1.8977390249845734,-0.03807963285779831,0
2025-05-15T22:15:34.837809,1.9340987839799737,0.2480205635332675,3
2025-05-15T22:15:34.975313,1.976173902889505,0.6199326020913426,3
2025-05-15T22:15:35.058785,1.9514147287415156,0.02160265344472173,3
2025-05-15T22:15:35.137075,1.9468557811495484,0.06802946084302897,3
2025-05-15T22:15:44.631485,2.039407311352374,1.73956232501864,3
2025-05-15T22:15:44.749443,1.9106334641351317,1.7427862078735943,2
2025-05-15T22:15:44.847064,1.9049254587472269,1.733912231015315,2
2025-05-15T22:15:44.953717,1.4475217397431244,1.781410496566881,2
2025-05-15T22:15:45.048629,1.098534887058935,1.835450447967188,2
2025-05-15T22:15:45.151037,1.8151538131674194,1.7529484804815825,2
2025-05-15T22:15:53.930672,0.1791900632355502,1.9040212515652613,2
2025-05-15T22:15:54.036949,0.16094683570239407,1.7397791075831686,1
2025-05-15T22:15:54.147829,0.11413866736384917,1.407472874555091,1
2025-05-15T22:15:54.242146,0.09188457954122871,1.233895192186927,1
2025-05-15T22:15:54.370407,0.13493801398690308,1.6634931773497352,1
2025-05-15T22:16:03.692340,-0.04092701334304111,0.01991028511238585,1
