Estimated Position_x,Estimated Position_y,Measured Position_x,Measured Position_y,Waypoints_x,Waypoints_y,Lidar_x,Lidar_y,Error_x,Error_y
0.2999999992,0.3000679156,0.2999999992,0.3000679156,0.2999999992,0.3000679156,-0.102629467,0.5892192764,0.0,0.0
0.2999999992,0.3857436081,0.3000000274,0.9327519768,0.2999999992,0.3000679156,-0.0622404149,0.6816873911,2.820000000181011e-08,0.5470083687
0.2999999992,0.4955661198,1.058180124,1.3552579579,0.2999999992,0.3000679156,-0.1598973418,0.7647313981,0.7581801248,0.8596918380999999
0.2999999992,0.6918172976,1.2763172777,0.4686103181,0.2999999992,0.3000679156,0.0320120907,0.9659848164,0.9763172785,-0.2232069795
0.2999999992,0.8910877367,0.3932040352,0.2472865782,0.2999999992,0.3000679156,0.8248999718,-0.0688345245,0.09320403600000005,-0.6438011585
0.3204839357,1.1090209801,0.2522740717,0.2744061959,0.2999999992,0.3000679156,0.9967485846,-0.0770495869,-0.06820986400000001,-0.8346147842
0.4486458155,1.2590889785,0.3489075559,0.2562762126,0.2999999992,0.3000679156,0.1281853912,0.3054038056,-0.09973825959999999,-1.0028127659
0.6400456909,1.3000679156,0.1378053674,0.2776267519,0.2999999992,0.3000679156,0.0485911459,0.0097515345,-0.5022403234999999,-1.0224411637
0.8404798988,1.3000679156,,,0.2999999992,0.3000679156,0.0287414123,0.3176758017,,
1.0596628506,1.2940753035,,,0.2999999992,0.3000679156,0.0,0.0,,
1.2285307523,1.1944224752,,,,,-0.076532486,0.4341262807,,
1.2999084903,1.0074771615,,,,,0.0,0.0,,
1.2999084903,1.0074771615,,,,,-0.0870927154,0.2384311879,,
1.2999999992,0.7907123204,,,,,1.8726536223,0.1277142656,,
1.2998659255,0.5910998471,,,,,0.0246170228,0.0067492259,,
1.2292757779,0.4065928079,,,,,0.1895901675,0.1309418973,,
1.0424697322,0.3030892601,,,,,0.0225912362,0.8252687695,,
0.8426535086,0.3000679156,,,,,0.035841365,0.1371489371,,
0.6222811178,0.3000679156,,,,,-0.002930952,0.9020038655,,
0.4609834407,0.3000679156,,,,,-0.1729736935,0.5617628631,,
0.3513699505,0.3000679156,,,,,1.2794794202,-0.0905651412,,
0.2999999992,0.3000679156,,,,,-0.1523623678,0.7722481249,,
0.2999999992,0.3000679156,,,,,0.0829259958,0.1932120672,,
0.2999999992,0.3000679156,,,,,0.0741086808,0.2640774818,,
0.2999999992,0.3000679156,,,,,-0.1018004005,0.3585734179,,
0.2999999992,0.3000679156,,,,,-0.0150373893,0.5538125127,,
0.2999999992,0.3000679156,,,,,-0.0300290469,0.1041213591,,
0.2999999992,0.3000679156,,,,,1.8645590282,0.537487354,,
0.2999999992,0.3000679156,,,,,-0.0603248511,0.7535142735,,
0.2999999992,0.3000679156,,,,,0.8630235383,-0.0411916135,,
0.2999999992,0.3000679156,,,,,-0.0058024707,1.0258616816,,
0.2999999992,0.3000679156,,,,,-0.1205702822,0.4488765597,,
0.2999999992,0.3000679156,,,,,1.8242764971,0.489784874,,
0.2999999992,0.3000679156,,,,,0.6013325931,0.0410588453,,
0.2999999992,0.3000679156,,,,,-0.0581336425,0.0016956742,,
0.2999999992,0.3000679156,,,,,-0.0411503196,0.6708861109,,
0.2999999992,0.3000679156,,,,,-0.0628305936,0.6564993522,,
0.2999999992,0.3000679156,,,,,0.0,0.0,,
0.2999999992,0.3000679156,,,,,-0.0026756837,1.0644918687,,
0.2999999992,0.3000679156,,,,,-0.0890091163,0.2916895947,,
0.2999999992,0.3000679156,,,,,-0.0864052168,0.2328137488,,
,,,,,,-0.0024729342,0.8476256086,,
,,,,,,0.6580259893,-0.0607261093,,
,,,,,,1.3543663854,1.7855999099,,
,,,,,,2.0516238785,1.3209334841,,
,,,,,,-0.05316618,0.2080614166,,
,,,,,,0.0423238214,0.0841702979,,
,,,,,,1.270431389,-0.0975663268,,
,,,,,,-0.0935082241,0.2313039544,,
,,,,,,-0.0025346026,0.4510780969,,
,,,,,,-0.0558002981,0.4650752607,,
,,,,,,0.9896685872,1.0002079177,,
,,,,,,-0.0050834089,1.0545018787,,
,,,,,,-0.0016014454,0.1191204574,,
,,,,,,0.1224885665,0.3502014535,,
,,,,,,-0.036491472,0.06011709,,
,,,,,,-0.0549349115,0.4580103565,,
,,,,,,-0.0761534073,0.1333515917,,
,,,,,,1.311328289,1.9415628143,,
,,,,,,-0.1106454062,0.4308297704,,
,,,,,,-0.1091369011,0.7042372099,,
,,,,,,-0.0021466804,0.8102386353,,
,,,,,,0.7607746089,-0.0117259719,,
,,,,,,0.134770926,0.2536214681,,
,,,,,,-0.0615347845,0.5118809888,,
,,,,,,-0.0698404885,0.5796746776,,
,,,,,,2.0150487104,1.1162585261,,
,,,,,,-0.0927284123,0.2492276314,,
,,,,,,1.3710742643,1.778113293,,
,,,,,,-0.0025612129,0.7479224766,,
,,,,,,0.0296160047,0.3105696203,,
,,,,,,0.8558873849,0.974114988,,
,,,,,,-0.0075494717,1.4105492003,,
,,,,,,-0.1182702947,0.4931178307,,
,,,,,,1.8592549626,-0.118280897,,
,,,,,,0.0351014021,0.5784132883,,
,,,,,,-0.0806445097,0.1278743719,,
,,,,,,0.1410150441,0.2046428671,,
,,,,,,1.3267855233,1.9411256259,,
,,,,,,-0.1214237662,0.3471780608,,
,,,,,,-0.1040800142,0.3771965506,,
,,,,,,0.107398265,0.4688155079,,
,,,,,,-0.0028026229,1.2858026514,,
,,,,,,0.9081690096,1.0171171411,,
,,,,,,-0.0860839036,0.3250700142,,
,,,,,,-0.0769918816,0.4179113595,,
,,,,,,-0.0541328869,0.2651807015,,
,,,,,,-0.0408401923,0.3429648897,,
,,,,,,1.1676753381,-0.0833418689,,
,,,,,,0.8310742215,-0.0368269819,,
,,,,,,1.0149808174,-0.0622369558,,
,,,,,,1.8801721607,0.6024213365,,
,,,,,,0.0328284283,0.0077475993,,
,,,,,,0.8499662006,1.0739903028,,
,,,,,,0.0359672986,0.0012822363,,
,,,,,,0.8863488297,1.9052285842,,
,,,,,,-0.0329398086,0.3656263323,,
,,,,,,0.0,0.0,,
,,,,,,0.0,0.0,,
,,,,,,-0.0032418929,0.0612494309,,
,,,,,,-0.023625933,0.0617782539,,
,,,,,,0.6362431966,1.9593165917,,
,,,,,,-0.0756872072,0.6278785714,,
,,,,,,-0.0439077208,0.4518978678,,
,,,,,,0.7561524311,-0.0655481329,,
,,,,,,0.3499057481,0.1245596665,,
,,,,,,-0.1489998869,0.3668959807,,
,,,,,,-0.040479403,0.173940963,,
,,,,,,-0.1399483418,0.6700176154,,
,,,,,,0.046800872,0.9091326145,,
,,,,,,-0.1667298144,0.5110134808,,
,,,,,,-0.002071026,0.6060706333,,
,,,,,,-0.083858268,0.1537130121,,
,,,,,,-0.0517070705,0.5679195741,,
,,,,,,0.196316324,0.13480548,,
,,,,,,1.7129911017,-0.1112888556,,
,,,,,,-0.0343695324,0.0621404019,,
,,,,,,0.0,0.0,,
,,,,,,-0.0686185013,0.0311896832,,
,,,,,,-0.1344748845,0.2488441898,,
,,,,,,-0.0212473603,0.2736606918,,
,,,,,,0.0,0.0,,
,,,,,,0.008870711,0.4791354652,,
,,,,,,-0.0270725575,0.0843577129,,
,,,,,,0.1053520219,0.4848670525,,
,,,,,,1.2260749138,-0.0880121585,,
,,,,,,1.1092109942,1.0714530185,,
,,,,,,-0.0108272086,0.0979892244,,
,,,,,,-0.0810240228,0.6707334473,,
,,,,,,0.0181914118,0.2815370218,,
,,,,,,-0.0675495324,0.0225975122,,
,,,,,,-0.0918821884,0.2775596676,,
,,,,,,-0.0039884054,1.229917011,,
,,,,,,1.4272933635,1.9382821098,,
,,,,,,1.5654747695,-0.1476143725,,
,,,,,,-0.1505731972,0.9091155506,,
,,,,,,-0.1003214954,0.3464916841,,
,,,,,,-0.0015928641,0.6369578942,,
,,,,,,0.0516251744,0.0032007352,,
,,,,,,0.0204906811,0.3847153934,,
,,,,,,-0.1514628279,0.2261012721,,
,,,,,,-0.0664532582,0.0137853038,,
,,,,,,0.0131389896,0.3228609798,,
,,,,,,-0.1290123578,0.3000679156,,
,,,,,,0.0,0.0,,
,,,,,,-0.0031965797,1.3224221509,,
,,,,,,0.5409296781,-0.0551548122,,
,,,,,,-0.0684825765,0.5097872063,,
,,,,,,0.9229057694,1.0175917793,,
,,,,,,0.1908360171,0.061540516,,
,,,,,,1.0514239051,1.8619139229,,
,,,,,,1.0880073501,1.8604218817,,
,,,,,,0.0215727937,0.375929407,,
