Estimated Position_x,Estimated Position_y,Measured Position_x,Measured Position_y,Waypoints_x,Waypoints_y,Lidar_x,Lidar_y
0.2999999992,0.3000679156,0.2999999992,0.3000679156,0.2999999992,0.3000679156,-0.1026294670,0.5892192764
0.2999999992,0.3000679156,0.2999999992,0.3000679156,0.2999999992,1.3000679156,-0.0938603470,0.4218487846
0.2999999992,0.3000679156,0.3000000057,0.4975979702,1.2999999992,1.3000679156,0.0472655828,-0.0040548831
0.2999999992,0.3000679156,0.3000000071,0.5194952490,1.2999999992,0.3000679156,-0.0624806053,0.5945517786
0.2999999992,0.3857436081,0.3000000167,0.7141673738,0.2999999992,0.3000679156,0.0408265402,0.0087648504
0.2999999992,0.3857436081,0.3000000274,0.9327519768,0.2999999992,0.3000679156,-0.0622404149,0.6816873911
0.2999999992,0.3857436081,0.3300725209,1.1429275003,0.2999999992,1.3000679156,0.1107950909,0.1359956745
0.2999999992,0.3857436081,0.4577993085,1.2848547686,1.2999999992,1.3000679156,0.5918267323,0.0442165457
0.2999999992,0.3857436081,0.6417222093,1.3472359392,1.2999999992,0.3000679156,-0.0031963306,0.7314020329
0.2999999992,0.4955661198,0.836833365,1.3459459233,0.2999999992,0.3000679156,1.881668632,0.1969775944
0.2999999992,0.4955661198,1.0581801240,1.3552579579,0.2999999992,0.3000679156,-0.1598973418,0.7647313981
0.2999999992,0.4955661198,1.2520525018,1.2445548235,0.2999999992,1.3000679156,-0.0787750422,0.4085204693
0.2999999992,0.4955661198,1.3349750493,1.0724727262,1.2999999992,1.3000679156,0.0159253130,0.3000679156
0.2999999992,0.4955661198,1.3507712531,0.8669997706,1.2999999992,0.3000679156,-0.0083914148,1.7109461028
0.2999999992,0.6918172976,1.3723001161,0.6518960493,0.2999999992,0.3000679156,1.2138582476,-0.0897104497
0.2999999992,0.6918172976,1.2763172777,0.4686103181,0.2999999992,0.3000679156,0.0320120907,0.9659848164
0.2999999992,0.6918172976,1.110149794,0.3743936918,0.2999999992,1.3000679156,1.8101979728,0.4534618189
0.2999999992,0.6918172976,0.9046745937,0.3300828582,1.2999999992,1.3000679156,-0.0329148632,0.1863170672
0.2999999992,0.6918172976,0.7040205444,0.2614017667,1.2999999992,0.3000679156,0.,0.
0.2999999992,0.8910877367,0.5172835968,0.2589222016,0.2999999992,0.3000679156,-0.0432983421,0.5970508561
0.2999999992,0.8910877367,0.3932040352,0.2472865782,0.2999999992,0.3000679156,0.8248999718,-0.0688345245
0.2999999992,0.8910877367,0.3258157846,0.2681449901,0.2999999992,1.3000679156,1.8006520614,1.8155484894
0.2999999992,0.8910877367,0.3315115885,0.2645511886,1.2999999992,1.3000679156,-0.012383894,0.1106962584
0.2999999992,0.8910877367,0.3033938819,0.2684525288,1.2999999992,0.3000679156,1.8476071451,0.4664848619
0.2999999992,0.8910877367,0.3620138496,0.2616729469,0.2999999992,0.3000679156,-0.1418944307,0.8514268
0.3204839357,1.1090209801,0.2522740717,0.2744061959,0.2999999992,0.3000679156,0.9967485846,-0.0770495869
0.3204839357,1.1090209801,0.4077811533,0.2544320563,0.2999999992,1.3000679156,0.1355241420,0.2476989466
0.3204839357,1.1090209801,0.2373787117,0.2750976725,1.2999999992,1.3000679156,1.1890706658,1.8320811435
0.3204839357,1.1090209801,0.3692950340,0.2563883015,1.2999999992,0.3000679156,0.8084013811,-0.0680457431
0.3204839357,1.1090209801,0.1989145878,0.2772902647,0.2999999992,0.3000679156,1.8415809077,-0.1132466866
